Benchmarks	sim_seconds	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip		0.082521	1.650416	0.011747	0.000077	0.363137
specbzip_1ghz		0.161025	1.610247	0.014675	0.000077	0.282157
specbzip_CacheLine32	0.092629	1.852581	0.018283	0.000087	0.427357
specbzip_CacheLine128	0.083329	1.666573	0.014359	0.000067	0.173845
specbzip_L1d_assoc2	0.083982	1.679650	0.014798	0.000077	0.282163
specbzip_L1d_assoc4	0.083184	1.663677	0.013334	0.000077	0.315939
specbzip_L1d_assoc8	0.082879	1.657590	0.012735	0.000077	0.332218
specbzip_L1d_size64	0.083982	1.679650	0.014798	0.000077	0.282163
specbzip_L1d_size128	0.082521	1.650416	0.011747	0.000077	0.363137
specbzip_L1i_Assoc2	0.083982	1.679650	0.014798	0.000077	0.282163
specbzip_L1i_Assoc4	0.083992	1.679834	0.014799	0.000070	0.282188
specbzip_L1i_Assoc8	0.083998	1.679962	0.014799	0.000070	0.282188
specbzip_L1i_Size_64	0.083994	1.679876	0.014800	0.000072	0.282148
specbzip_L1i_Size_128	0.083986	1.679727	0.014798	0.000070	0.282153
specbzip_L2_Assoc_4	0.083942	1.678833	0.014793	0.000077	0.282144
specbzip_L2_Assoc_8	0.083982	1.679650	0.014798	0.000077	0.282163
specbzip_L2_Size_256	0.093285	1.865692	0.014778	0.000077	0.512998
specbzip_L2_Size_2MB	0.083982	1.679650	0.014798	0.000077	0.282163
spechmmer		0.059396	1.187917	0.001637	0.000221	0.077760
spechmmer_1ghz		0.118530	1.185304	0.001629	0.000221	0.077747
spechmmer_CacheLine32	0.059842	1.196843	0.003134	0.000190	0.078314
spechmmer_CacheLine128	0.059099	1.181978	0.000881	0.000345	0.072025
spechmmer_L1d_assoc2	0.059396	1.187917	0.001637	0.000221	0.077760
spechmmer_L1d_assoc4	0.059387	1.187732	0.001587	0.000215	0.080373
spechmmer_L1d_assoc8	0.059384	1.187679	0.001629	0.000215	0.078285
spechmmer_L1d_size64	0.059396	1.187917	0.001637	0.000221	0.077760
spechmmer_L1d_size128	0.059309	1.186170	0.000701	0.000212	0.179990
spechmmer_L1i_Assoc2	0.059396	1.187917	0.001637	0.000221	0.077760
spechmmer_L1i_Assoc4	0.059389	1.187777	0.001638	0.000142	0.079268
spechmmer_L1i_Assoc8	0.059385	1.187710	0.001638	0.000090	0.080362
spechmmer_L1i_Size_64	0.059386	1.187711	0.001638	0.000087	0.080477
spechmmer_L1i_Size_128	0.059382	1.187649	0.001638	0.000079	0.080654
spechmmer_L2_Assoc_4	0.059396	1.187917	0.001637	0.000221	0.077760
spechmmer_L2_Assoc_8	0.059396	1.187917	0.001637	0.000221	0.077760
spechmmer_L2_Size_256	0.059399	1.187975	0.001637	0.000221	0.078596
spechmmer_L2_Size_2MB	0.059396	1.187917	0.001637	0.000221	0.077760
speclibm		0.174671	3.493415	0.060972	0.000088	0.999967
speclibm_1ghz		0.262327	2.623265	0.060971	0.000094	0.999944
speclibm_CacheLine32	0.280391	5.607827	0.121940	0.000085	0.999979
speclibm_CacheLine128	0.129065	2.581299	0.030487	0.000112	0.999799
speclibm_L1d_assoc2	0.174671	3.493415	0.060972	0.000094	0.999944
speclibm_L1d_assoc4	0.174671	3.493415	0.060972	0.000094	0.999945
speclibm_L1d_assoc8	0.174671	3.493415	0.060972	0.000094	0.999945
speclibm_L1d_size64	0.174671	3.493415	0.060972	0.000094	0.999944
speclibm_L1d_size128	0.174671	3.493415	0.060972	0.000094	0.999944
speclibm_L1i_Assoc2	0.174671	3.493415	0.060972	0.000094	0.999944
speclibm_L1i_Assoc4	0.174665	3.493293	0.060972	0.000087	0.999973
speclibm_L1i_Assoc8	0.174665	3.493293	0.060972	0.000085	0.999978
speclibm_L1i_Size_64	0.174671	3.493415	0.060972	0.000088	0.999967
speclibm_L1i_Size_128	0.174665	3.493293	0.060972	0.000085	0.999981
speclibm_L2_Assoc_4	0.174671	3.493415	0.060972	0.000094	0.999944
speclibm_L2_Assoc_8	0.174671	3.493415	0.060972	0.000094	0.999944
speclibm_L2_Size_256	0.174818	3.496359	0.060972	0.000094	0.999944
speclibm_L2_Size_2MB	0.174671	3.493415	0.060972	0.000094	0.999944
specmcf			0.057772	1.155442	0.002108	0.000018	0.711974
specmcf_1ghz		NAN		NAN		NAN		NAN		NAN
specmcf_CacheLine32	0.063004	1.260085	0.003208	0.013171	0.159189
specmcf_CacheLine128	0.066527	1.330534	0.001384	0.035212	0.020416
specmcf_L1d_assoc2	0.064955	1.299095	0.002108	0.023612	0.055046
specmcf_L1d_assoc4	0.064933	1.298668	0.001970	0.023611	0.055307
specmcf_L1d_assoc8	0.064931	1.298611	0.001932	0.023611	0.055376
specmcf_L1d_size64	0.064955	1.299095	0.002108	0.023612	0.055046
specmcf_L1d_size128	0.064926	1.298527	0.001932	0.023611	0.055391
specmcf_L1i_Assoc2	0.064955	1.299095	0.002108	0.023612	0.055046
specmcf_L1i_Assoc4	0.057773	1.155450	0.002108	0.000019	0.711863
specmcf_L1i_Assoc8	0.057773	1.155450	0.002108	0.000018	0.711944
specmcf_L1i_Size_64	0.057780	1.155606	0.002108	0.000018	0.711878
specmcf_L1i_Size_128	0.057772	1.155442	0.002108	0.000018	0.711974
specmcf_L2_Assoc_4	0.064952	1.299037	0.002108	0.023612	0.055085
specmcf_L2_Assoc_8	0.064955	1.299095	0.002108	0.023612	0.055046
specmcf_L2_Size_256	0.065549	1.310970	0.002108	0.023613	0.067250
specmcf_L2_Size_2MB	0.064955	1.299095	0.002108	0.023612	0.055046
specsjeng		0.513533	10.270653	0.121831	0.000020	0.999976
specsjeng_1ghz		0.704056	7.040561	0.121831	0.000020	0.999972
specsjeng_CacheLine32	0.882685	17.653706	0.243654	0.000023	0.999988
specsjeng_CacheLine128	0.339974	6.799471	0.060922	0.000015	0.999825
specsjeng_L1d_assoc2	0.513528	10.270554	0.121831	0.000020	0.999972
specsjeng_L1d_assoc4	0.513526	10.270520	0.121831	0.000020	0.999978
specsjeng_L1d_assoc8	0.513518	10.270355	0.121831	0.000020	0.999978
specsjeng_L1d_size64	0.513528	10.270554	0.121831	0.000020	0.999972
specsjeng_L1d_size128	0.513526	10.270520	0.121831	0.000020	0.999976
specsjeng_L1i_Assoc2	0.513528	10.270554	0.121831	0.000020	0.999972
specsjeng_L1i_Assoc4	0.513533	10.270653	0.121831	0.000020	0.999976
specsjeng_L1i_Assoc8	0.513526	10.270525	0.121831	0.000019	0.999978
specsjeng_L1i_Size_64	0.513524	10.270481	0.121831	0.000019	0.999979
specsjeng_L1i_Size_128	0.513524	10.270481	0.121831	0.000019	0.999979
specsjeng_L2_Assoc_4	0.513526	10.270525	0.121831	0.000020	0.999972
