Benchmarks		system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip		1.650416	0.011747	0.000077	0.363137
specbzip_1ghz		1.610247	0.014675	0.000077	0.282157
specbzip_CacheLine32	1.852581	0.018283	0.000087	0.427357
specbzip_CacheLine128	1.666573	0.014359	0.000067	0.173845
specbzip_L1d_assoc2	1.679650	0.014798	0.000077	0.282163
specbzip_L1d_assoc4	1.663677	0.013334	0.000077	0.315939
specbzip_L1d_assoc8	1.657590	0.012735	0.000077	0.332218
specbzip_L1d_size64	1.679650	0.014798	0.000077	0.282163
specbzip_L1d_size128	1.650416	0.011747	0.000077	0.363137
specbzip_L1i_Assoc2	1.679650	0.014798	0.000077	0.282163
specbzip_L1i_Assoc4	1.679834	0.014799	0.000070	0.282188
specbzip_L1i_Assoc8	1.679962	0.014799	0.000070	0.282188
specbzip_L1i_Size_64	1.679876	0.014800	0.000072	0.282148
specbzip_L1i_Size_128	1.679727	0.014798	0.000070	0.282153
specbzip_L2_Assoc_4	1.678833	0.014793	0.000077	0.282144
specbzip_L2_Assoc_8	1.679650	0.014798	0.000077	0.282163
specbzip_L2_Size_256	1.865692	0.014778	0.000077	0.512998
specbzip_L2_Size_2MB	1.679650	0.014798	0.000077	0.282163
spechmmer		1.187917	0.001637	0.000221	0.077760
spechmmer_1ghz		1.185304	0.001629	0.000221	0.077747
spechmmer_CacheLine32	1.196843	0.003134	0.000190	0.078314
spechmmer_CacheLine128	1.181978	0.000881	0.000345	0.072025
spechmmer_L1d_assoc2	1.187917	0.001637	0.000221	0.077760
spechmmer_L1d_assoc4	1.187732	0.001587	0.000215	0.080373
spechmmer_L1d_assoc8	1.187679	0.001629	0.000215	0.078285
spechmmer_L1d_size64	1.187917	0.001637	0.000221	0.077760
spechmmer_L1d_size128	1.186170	0.000701	0.000212	0.179990
spechmmer_L1i_Assoc2	1.187917	0.001637	0.000221	0.077760
spechmmer_L1i_Assoc4	1.187777	0.001638	0.000142	0.079268
spechmmer_L1i_Assoc8	1.187710	0.001638	0.000090	0.080362
spechmmer_L1i_Size_64	1.187711	0.001638	0.000087	0.080477
spechmmer_L1i_Size_128	1.187649	0.001638	0.000079	0.080654
spechmmer_L2_Assoc_4	1.187917	0.001637	0.000221	0.077760
spechmmer_L2_Assoc_8	1.187917	0.001637	0.000221	0.077760
spechmmer_L2_Size_256	1.187975	0.001637	0.000221	0.078596
spechmmer_L2_Size_2MB	1.187917	0.001637	0.000221	0.077760
speclibm		3.493415	0.060972	0.000088	0.999967
speclibm_1ghz		2.623265	0.060971	0.000094	0.999944
speclibm_CacheLine32	5.607827	0.121940	0.000085	0.999979
speclibm_CacheLine128	2.581299	0.030487	0.000112	0.999799
speclibm_L1d_assoc2	3.493415	0.060972	0.000094	0.999944
speclibm_L1d_assoc4	3.493415	0.060972	0.000094	0.999945
speclibm_L1d_assoc8	3.493415	0.060972	0.000094	0.999945
speclibm_L1d_size64	3.493415	0.060972	0.000094	0.999944
speclibm_L1d_size128	3.493415	0.060972	0.000094	0.999944
speclibm_L1i_Assoc2	3.493415	0.060972	0.000094	0.999944
speclibm_L1i_Assoc4	3.493293	0.060972	0.000087	0.999973
speclibm_L1i_Assoc8	3.493293	0.060972	0.000085	0.999978
speclibm_L1i_Size_64	3.493415	0.060972	0.000088	0.999967
speclibm_L1i_Size_128	3.493293	0.060972	0.000085	0.999981
speclibm_L2_Assoc_4	3.493415	0.060972	0.000094	0.999944
speclibm_L2_Assoc_8	3.493415	0.060972	0.000094	0.999944
speclibm_L2_Size_256	3.496359	0.060972	0.000094	0.999944
speclibm_L2_Size_2MB	3.493415	0.060972	0.000094	0.999944
specmcf			1.155442	0.002108	0.000018	0.711974
specmcf_1ghz		NAN	NAN	NAN	NAN
specmcf_CacheLine32	1.260085	0.003208	0.013171	0.159189
specmcf_CacheLine128	1.330534	0.001384	0.035212	0.020416
specmcf_L1d_assoc2	1.299095	0.002108	0.023612	0.055046
specmcf_L1d_assoc4	1.298668	0.001970	0.023611	0.055307
specmcf_L1d_assoc8	1.298611	0.001932	0.023611	0.055376
specmcf_L1d_size64	1.299095	0.002108	0.023612	0.055046
specmcf_L1d_size128	1.298527	0.001932	0.023611	0.055391
specmcf_L1i_Assoc2	1.299095	0.002108	0.023612	0.055046
specmcf_L1i_Assoc4	1.155450	0.002108	0.000019	0.711863
specmcf_L1i_Assoc8	1.155450	0.002108	0.000018	0.711944
specmcf_L1i_Size_64	1.155606	0.002108	0.000018	0.711878
specmcf_L1i_Size_128	1.155442	0.002108	0.000018	0.711974
specmcf_L2_Assoc_4	1.299037	0.002108	0.023612	0.055085
specmcf_L2_Assoc_8	1.299095	0.002108	0.023612	0.055046
specmcf_L2_Size_256	1.310970	0.002108	0.023613	0.067250
specmcf_L2_Size_2MB	1.299095	0.002108	0.023612	0.055046
specsjeng		10.270653	0.121831	0.000020	0.999976
specsjeng_1ghz		7.040561	0.121831	0.000020	0.999972
specsjeng_CacheLine32	17.653706	0.243654	0.000023	0.999988
specsjeng_CacheLine128	6.799471	0.060922	0.000015	0.999825
specsjeng_L1d_assoc2	10.270554	0.121831	0.000020	0.999972
specsjeng_L1d_assoc4	10.270520	0.121831	0.000020	0.999978
specsjeng_L1d_assoc8	10.270355	0.121831	0.000020	0.999978
specsjeng_L1d_size64	10.270554	0.121831	0.000020	0.999972
specsjeng_L1d_size128	10.270520	0.121831	0.000020	0.999976
specsjeng_L1i_Assoc2	10.270554	0.121831	0.000020	0.999972
specsjeng_L1i_Assoc4	10.270653	0.121831	0.000020	0.999976
specsjeng_L1i_Assoc8	10.270525	0.121831	0.000019	0.999978
specsjeng_L1i_Size_64	10.270481	0.121831	0.000019	0.999979
specsjeng_L1i_Size_128	10.270481	0.121831	0.000019	0.999979
specsjeng_L2_Assoc_4	10.270525	0.121831	0.000020	0.999972
